,sensors.pm25,sensors.pm10,sensors.temperature,sensors.gas,sensors.humidity,sensors.pressure,sensors.classification
793,3.4,7.3,20.87453125,60298,46.493974477049655,990.2656221978316,0
794,3.4,7.3,20.8989453125,60052,46.57607386845906,990.0928052303819,0
795,3.4,7.3,20.9204296875,60216,46.566397352452114,989.9135213156392,0
796,3.4,7.3,20.9425,59930,46.5872760106991,989.8335222622007,0
797,3.4,7.3,20.96203125,59849,46.52859692416008,989.8995419693853,0
798,3.0,10.3,20.98234375,59971,46.25687178512227,990.0772633063252,0
799,3.0,10.3,21.005,60011,46.13174276476418,990.3381588275548,0
800,3.0,10.3,21.030390625,60216,46.14078127636053,990.5706973526857,0
801,3.0,10.3,21.0536328125,60052,46.21041312161318,990.720395794214,0
802,3.0,10.3,21.0801953125,59849,46.30481926417346,990.8426722248524,0
803,3.0,10.3,21.106171875,59808,46.289587953555326,990.8949704461207,0
804,3.0,10.3,21.13078125,59808,46.34727116075445,990.8656639855077,0
805,3.0,10.3,21.15578125,59487,46.64891561493825,990.7558559449367,0
806,3.0,10.3,21.1778515625,59168,46.883538353198574,990.5998803135832,0
807,3.0,10.3,21.200703125,59010,46.89234722342509,990.4175340152436,0
808,3.0,10.3,21.21984375,58892,46.99852303346755,990.2291865205783,0
809,3.9,7.1,21.2411328125,58971,47.368314970265864,989.9786936288052,0
810,3.9,7.1,21.257734375,58542,47.60944367363114,989.743068055662,0
811,3.9,7.1,21.273359375,58580,47.2741320123104,989.4696032777076,0
812,3.9,7.1,21.2909375,58503,47.055869066205894,989.2165381425467,0
813,3.9,7.1,21.3096875,58580,46.801356253435486,988.951536740216,0
814,3.9,7.1,21.33078125,58619,46.63899656136264,988.7420896482901,0
815,3.9,7.1,21.3520703125,58387,46.72696534837758,988.6451661601177,0
816,3.9,7.1,21.37375,58387,46.912805237108905,988.7767714167427,0
817,3.9,7.1,21.3940625,58195,47.46011215279636,989.0771197356213,0
818,3.9,7.1,21.4165234375,58157,47.272794959344466,989.4914616671035,0
819,5.6,9.7,21.433515625,58464,46.34617582631131,989.8642087740053,0
820,5.6,9.7,21.4528515625,58697,45.93459659044359,990.1475080559883,0
821,5.6,9.7,21.4755078125,58697,45.88861142228432,990.3809194559177,0
822,5.6,9.7,21.5008984375,58580,45.855106448844175,990.6360289659247,0
823,5.6,9.7,21.52921875,58157,46.077298339089964,990.8578894182117,0
824,5.6,9.7,21.554609375,58195,46.03767833947446,990.8988649359056,0
825,5.6,9.7,21.5753125,58348,46.3262531613016,990.6541907515464,0
826,5.6,9.7,21.5946484375,58080,46.401663605894655,990.1982971748716,0
827,5.6,9.7,21.6130078125,57966,46.147957041285245,989.7148984069839,0
828,5.6,9.7,21.6313671875,57928,45.912849791157676,989.3592987853373,0
829,5.6,9.7,21.652265625,57966,45.86058001484928,989.0578640058548,0
830,3.6,7.5,21.6704296875,57890,45.94780780769603,988.6898226807256,0
831,3.6,7.5,21.689765625,57327,46.26048114171361,988.3201949817976,0
832,3.6,7.5,21.701875,56885,46.4874629996724,987.7506348690104,0
833,3.6,7.5,21.7102734375,57068,47.06283613625453,987.090456188756,0
834,3.6,7.5,21.7157421875,56521,47.99016758285686,986.3530195583528,0
835,3.6,7.5,21.7153515625,56091,48.544786100623206,985.6700947418063,0
836,3.6,7.5,21.7106640625,56593,48.34680182304699,985.1132936516983,0
837,3.6,7.5,21.7083203125,56485,48.18628248573961,984.7796281133529,0
